"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Trey Burton","CHI","OAK","Sun 01:00 EDT","TE","1.9%","4800","TE","2.3%","3300"
"Tyler Eifert","CIN","ARI","Sun 01:00 EDT","TE","1.8%","4600","TE","2.2%","3300"
"Diontae Johnson","PIT","BAL","Sun 01:00 EDT","WR","1.8%","5000","WR","1.9%","4400"
"Jason Witten","DAL","GB","Sun 04:25 EDT","TE","1.7%","5000","TE","1.9%","3800"
"Kirk Cousins","MIN","NYG","Sun 01:00 EDT","QB","1.7%","6800","QB","1.7%","5300"
"Frank Gore","BUF","TEN","Sun 01:00 EDT","RB","1.6%","5700","RB","1.5%","4700"
"Tyrell Williams","OAK","CHI","Sun 01:00 EDT","WR","1.6%","5900","WR","1.7%","5200"
"Latavius Murray","NO","TB","Sun 01:00 EDT","RB","1.6%","5200","RB","1.7%","3700"
"Mack Hollins","PHI","NYJ","Sun 01:00 EDT","WR","1.6%","4800","WR","1.9%","3700"
"Dallas Goedert","PHI","NYJ","Sun 01:00 EDT","TE","1.6%","4500","TE","2.0%","2900"
"Ryan Griffin","NYJ","PHI","Sun 01:00 EDT","TE","1.5%","4000","TE","2.1%","2500"
"James Washington","PIT","BAL","Sun 01:00 EDT","WR","1.4%","5000","WR","1.4%","4400"
"Trent Sherfield","ARI","CIN","Sun 01:00 EDT","WR","1.4%","4500","WR","1.8%","3000"
"Adrian Peterson","WAS","NE","Sun 01:00 EDT","RB","1.3%","5300","RB","1.4%","3900"
"Jeremy Sprinkle","WAS","NE","Sun 01:00 EDT","TE","1.3%","4500","TE","2.1%","2500"
