"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Rico Gafford","OAK","JAC","Sun 04:05 EST","WR","0.0%","-","WR","0.2%","3300"
"Dontrell Hilliard","CLE","ARI","Sun 04:05 EST","RB","0.0%","4600","RB","0.0%","3000"
"De'Lance Turner","MIA","NYG","Sun 01:00 EST","RB","0.0%","4500","RB","0.0%","3000"
"KhaDarel Hodge","CLE","ARI","Sun 04:05 EST","WR","0.0%","4600","WR","0.0%","3000"
"Malik Turner","SEA","CAR","Sun 01:00 EST","WR","0.0%","4900","WR","0.0%","3300"
"Diontae Spencer","DEN","KC","Sun 01:00 EST","WR","0.0%","4600","WR","0.0%","3000"
"Qadree Ollison","ATL","SF","Sun 04:25 EST","RB","0.0%","4500","RB","0.0%","3000"
"Ryquell Armstead","JAC","OAK","Sun 04:05 EST","RB","0.0%","4500","RB","0.0%","3800"
"Trayveon Williams","CIN","NE","Sun 01:00 EST","RB","0.0%","4500","RB","0.0%","3000"
"Travis Homer","SEA","CAR","Sun 01:00 EST","RB","0.0%","4500","RB","0.0%","3000"
"Scotty Miller","TB","DET","Sun 01:00 EST","WR","0.0%","4700","WR","0.0%","3000"
"Isaac Nauta","DET","TB","Sun 01:00 EST","TE","0.0%","4000","TE","0.0%","2500"
"Jakobi Meyers","NE","CIN","Sun 01:00 EST","WR","0.0%","5100","WR","0.0%","3300"
"Stanley Morgan","CIN","NE","Sun 01:00 EST","WR","0.0%","4500","WR","0.0%","3000"
"Michael Walker","JAC","OAK","Sun 04:05 EST","WR","0.0%","4500","WR","0.0%","3000"
"Hale Hentges","WAS","PHI","Sun 01:00 EST","TE","0.0%","4000","TE","0.0%","2500"
"Alexander Hollins","MIN","LAC","Sun 04:05 EST","WR","0.0%","-","WR","0.0%","3000"
"Khari Blasingame","TEN","HOU","Sun 01:00 EST","RB","0.0%","4800","RB","0.0%","3200"
"Devine Ozigbo","JAC","OAK","Sun 04:05 EST","RB","0.0%","4500","RB","0.0%","3000"
"Jason Moore","LAC","MIN","Sun 04:05 EST","WR","0.0%","4500","WR","0.0%","3000"
"Jalen Guyton","LAC","MIN","Sun 04:05 EST","WR","0.0%","4500","WR","0.0%","3000"
"Ventell Bryant","DAL","LA","Sun 04:25 EST","WR","0.0%","4500","WR","0.0%","3000"
"Jesper Horsted","CHI","GB","Sun 01:00 EST","TE","0.0%","4700","TE","0.0%","2500"
