Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,
,,,,,,,,,,,,,,RB,Marcus Murphy (10043194),Marcus Murphy,10043194,3700,BUF@JAX 01/07/2018 01:05PM ET,BUF
,,,,,,,,,,,,,,WR,Corey Davis (10043072),Corey Davis,10043072,3600,TEN@KC 01/06/2018 04:35PM ET,TEN
,,,,,,,,,,,,,,RB,Mike Tolbert (10043190),Mike Tolbert,10043190,3600,BUF@JAX 01/07/2018 01:05PM ET,BUF
,,,,,,,,,,,,,,WR,Eric Decker (10043074),Eric Decker,10043074,3500,TEN@KC 01/06/2018 04:35PM ET,TEN
,,,,,,,,,,,,,,RB,Terron Ward (10043129),Terron Ward,10043129,3500,ATL@LAR 01/06/2018 08:15PM ET,ATL
,,,,,,,,,,,,,,WR,Kelvin Benjamin (10043196),Kelvin Benjamin,10043196,3500,BUF@JAX 01/07/2018 01:05PM ET,BUF
,,,,,,,,,,,,,,RB,Jonathan Stewart (10043287),Jonathan Stewart,10043287,3500,CAR@NO 01/07/2018 04:40PM ET,CAR
,,,,,,,,,,,,,,DST,Chiefs  (10043122),Chiefs ,10043122,3400,TEN@KC 01/06/2018 04:35PM ET,KC
,,,,,,,,,,,,,,WR,Damiere Byrd (10043297),Damiere Byrd,10043297,3400,CAR@NO 01/07/2018 04:40PM ET,CAR
,,,,,,,,,,,,,,WR,Albert Wilson (10043106),Albert Wilson,10043106,3300,TEN@KC 01/06/2018 04:35PM ET,KC
,,,,,,,,,,,,,,RB,Akeem Hunt (10043100),Akeem Hunt,10043100,3200,TEN@KC 01/06/2018 04:35PM ET,KC
,,,,,,,,,,,,,,DST,Saints  (10043281),Saints ,10043281,3200,CAR@NO 01/07/2018 04:40PM ET,NO
,,,,,,,,,,,,,,WR,Jaydon Mickens (10043239),Jaydon Mickens,10043239,3100,BUF@JAX 01/07/2018 01:05PM ET,JAX
,,,,,,,,,,,,,,RB,David Fluellen (10043066),David Fluellen,10043066,3000,TEN@KC 01/06/2018 04:35PM ET,TEN
,,,,,,,,,,,,,,RB,Khalfani Muhammad (10043068),Khalfani Muhammad,10043068,3000,TEN@KC 01/06/2018 04:35PM ET,TEN
,,,,,,,,,,,,,,WR,Harry Douglas (10043076),Harry Douglas,10043076,3000,TEN@KC 01/06/2018 04:35PM ET,TEN
,,,,,,,,,,,,,,WR,Eric Weems (10043078),Eric Weems,10043078,3000,TEN@KC 01/06/2018 04:35PM ET,TEN
,,,,,,,,,,,,,,WR,Taywan Taylor (10043080),Taywan Taylor,10043080,3000,TEN@KC 01/06/2018 04:35PM ET,TEN
,,,,,,,,,,,,,,RB,Anthony Sherman (10043102),Anthony Sherman,10043102,3000,TEN@KC 01/06/2018 04:35PM ET,KC
,,,,,,,,,,,,,,WR,Jehu Chesson (10043108),Jehu Chesson,10043108,3000,TEN@KC 01/06/2018 04:35PM ET,KC
,,,,,,,,,,,,,,WR,Demarcus Robinson (10043110),Demarcus Robinson,10043110,3000,TEN@KC 01/06/2018 04:35PM ET,KC
,,,,,,,,,,,,,,WR,De'Anthony Thomas (10043112),De'Anthony Thomas,10043112,3000,TEN@KC 01/06/2018 04:35PM ET,KC
,,,,,,,,,,,,,,RB,Derrick Coleman (10043131),Derrick Coleman,10043131,3000,ATL@LAR 01/06/2018 08:15PM ET,ATL
,,,,,,,,,,,,,,WR,Marvin Hall (10043137),Marvin Hall,10043137,3000,ATL@LAR 01/06/2018 08:15PM ET,ATL
,,,,,,,,,,,,,,WR,Andre Roberts (10043139),Andre Roberts,10043139,3000,ATL@LAR 01/06/2018 08:15PM ET,ATL
,,,,,,,,,,,,,,WR,Taylor Gabriel (10043141),Taylor Gabriel,10043141,3000,ATL@LAR 01/06/2018 08:15PM ET,ATL
,,,,,,,,,,,,,,WR,Nick Williams (10043143),Nick Williams,10043143,3000,ATL@LAR 01/06/2018 08:15PM ET,ATL
,,,,,,,,,,,,,,WR,Justin Hardy (10043145),Justin Hardy,10043145,3000,ATL@LAR 01/06/2018 08:15PM ET,ATL
,,,,,,,,,,,,,,RB,Justin Davis (10043160),Justin Davis,10043160,3000,ATL@LAR 01/06/2018 08:15PM ET,LAR
,,,,,,,,,,,,,,RB,Lance Dunbar (10043162),Lance Dunbar,10043162,3000,ATL@LAR 01/06/2018 08:15PM ET,LAR
,,,,,,,,,,,,,,WR,Pharoh Cooper (10043170),Pharoh Cooper,10043170,3000,ATL@LAR 01/06/2018 08:15PM ET,LAR
,,,,,,,,,,,,,,WR,Josh Reynolds (10043172),Josh Reynolds,10043172,3000,ATL@LAR 01/06/2018 08:15PM ET,LAR
,,,,,,,,,,,,,,WR,Michael Thomas (10043174),Michael Thomas,10043174,3000,ATL@LAR 01/06/2018 08:15PM ET,LAR
,,,,,,,,,,,,,,WR,Tavon Austin (10043176),Tavon Austin,10043176,3000,ATL@LAR 01/06/2018 08:15PM ET,LAR
,,,,,,,,,,,,,,RB,Patrick DiMarco (10043192),Patrick DiMarco,10043192,3000,BUF@JAX 01/07/2018 01:05PM ET,BUF
,,,,,,,,,,,,,,WR,Deonte Thompson (10043198),Deonte Thompson,10043198,3000,BUF@JAX 01/07/2018 01:05PM ET,BUF
,,,,,,,,,,,,,,WR,Zay Jones (10043200),Zay Jones,10043200,3000,BUF@JAX 01/07/2018 01:05PM ET,BUF
,,,,,,,,,,,,,,WR,Brandon Tate (10043202),Brandon Tate,10043202,3000,BUF@JAX 01/07/2018 01:05PM ET,BUF
,,,,,,,,,,,,,,WR,Brandon Reilly (10043204),Brandon Reilly,10043204,3000,BUF@JAX 01/07/2018 01:05PM ET,BUF
,,,,,,,,,,,,,,WR,Walter Powell (10043206),Walter Powell,10043206,3000,BUF@JAX 01/07/2018 01:05PM ET,BUF
,,,,,,,,,,,,,,WR,Malachi Dupre (10043208),Malachi Dupre,10043208,3000,BUF@JAX 01/07/2018 01:05PM ET,BUF
,,,,,,,,,,,,,,RB,Tommy Bohanon (10043227),Tommy Bohanon,10043227,3000,BUF@JAX 01/07/2018 01:05PM ET,JAX
,,,,,,,,,,,,,,RB,Corey Grant (10043229),Corey Grant,10043229,3000,BUF@JAX 01/07/2018 01:05PM ET,JAX
,,,,,,,,,,,,,,WR,Montay Crockett (10043241),Montay Crockett,10043241,3000,BUF@JAX 01/07/2018 01:05PM ET,JAX
,,,,,,,,,,,,,,RB,Trey Edmunds (10043257),Trey Edmunds,10043257,3000,CAR@NO 01/07/2018 04:40PM ET,NO
,,,,,,,,,,,,,,RB,Jonathan Williams (10043259),Jonathan Williams,10043259,3000,CAR@NO 01/07/2018 04:40PM ET,NO
,,,,,,,,,,,,,,RB,Zach Line (10043261),Zach Line,10043261,3000,CAR@NO 01/07/2018 04:40PM ET,NO
,,,,,,,,,,,,,,WR,Willie Snead (10043267),Willie Snead,10043267,3000,CAR@NO 01/07/2018 04:40PM ET,NO
,,,,,,,,,,,,,,WR,Brandon Coleman (10043269),Brandon Coleman,10043269,3000,CAR@NO 01/07/2018 04:40PM ET,NO
,,,,,,,,,,,,,,WR,Austin Carr (10043271),Austin Carr,10043271,3000,CAR@NO 01/07/2018 04:40PM ET,NO
,,,,,,,,,,,,,,WR,Tommylee Lewis (10043273),Tommylee Lewis,10043273,3000,CAR@NO 01/07/2018 04:40PM ET,NO
,,,,,,,,,,,,,,RB,Fozzy Whittaker (10043289),Fozzy Whittaker,10043289,3000,CAR@NO 01/07/2018 04:40PM ET,CAR
,,,,,,,,,,,,,,RB,Cameron Artis-Payne (10043291),Cameron Artis-Payne,10043291,3000,CAR@NO 01/07/2018 04:40PM ET,CAR
,,,,,,,,,,,,,,RB,Alex Armah (10043293),Alex Armah,10043293,3000,CAR@NO 01/07/2018 04:40PM ET,CAR
,,,,,,,,,,,,,,WR,Brenton Bersin (10043299),Brenton Bersin,10043299,3000,CAR@NO 01/07/2018 04:40PM ET,CAR
