Player,Team,Opp,Time,"FD Pos","FD Draft %","FD Sal","DK Pos","DK Draft %","DK Sal"
"Kaden Smith",NYG,CHI,"Sun 01:00 EDT",TE,0.0%,4100,TE,0.0%,3200
"Olamide Zaccheaus",ATL,DAL,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Nsimba Webster",LA,PHI,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Khari Blasingame",TEN,JAC,"Sun 01:00 EDT",RB,0.0%,4500,RB,0.0%,4000
"Malik Taylor",GB,DET,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Patrick Laird",MIA,BUF,"Sun 01:00 EDT",RB,0.0%,4500,RB,0.0%,4000
"Isaiah Wright",WAS,ARI,"Sun 04:05 EDT",WR,0.0%,4500,WR,0.0%,3000
"Cole Kmet",CHI,NYG,"Sun 01:00 EDT",TE,0.0%,4100,TE,0.0%,2800
"Antonio Gandy-Golden",WAS,ARI,"Sun 04:05 EDT",WR,0.0%,4600,WR,0.0%,3300
"Ke'Shawn Vaughn",TB,CAR,"Sun 01:00 EDT",RB,0.0%,4500,RB,0.0%,4000
"Collin Johnson",JAC,TEN,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"John Hightower",PHI,LA,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Joe Reed",LAC,KC,"Sun 04:25 EDT",WR,0.0%,4500,WR,0.0%,3700
"K.J. Hill",LAC,KC,"Sun 04:25 EDT",WR,0.0%,4500,WR,0.0%,3000
"Devin Duvernay",BAL,HOU,"Sun 04:25 EDT",WR,0.0%,4500,WR,0.0%,3400
"Darnell Mooney",CHI,NYG,"Sun 01:00 EDT",WR,0.0%,4600,WR,0.0%,3000
"James Proche",BAL,HOU,"Sun 04:25 EDT",WR,0.0%,4500,WR,0.0%,3000
"Gabriel Davis",BUF,MIA,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Scottie Phillips",HOU,BAL,"Sun 04:25 EDT",RB,0.0%,4500,RB,0.0%,4000
"Rico Dowdle",DAL,ATL,"Sun 01:00 EDT",RB,0.0%,4500,RB,0.0%,4000
"K.J. Hamler",DEN,PIT,"Sun 01:00 EDT",WR,0.0%,4600,WR,0.0%,3000
"A.J. Dillon",GB,DET,"Sun 01:00 EDT",RB,0.0%,4500,RB,0.0%,4000
