"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"25","Marvin Jones Jr.",DET,"vs. GB"," 4.4","B","14.9","-0.7","41% (5/12)","17%","Average"
"26","Cole Beasley",BUF,"vs. PIT"," 6.2","B","14.8","+2.6","73% (11/15)","7%","Average"
"27","Deebo Samuel",SF,"vs. WAS"," 4.0","B","14.6","+1.3","50% (5/10)","3%","Average"
"28","Chase Claypool",PIT,"at BUF"," 4.2","B","14.4","+3.3","66% (8/12)","16%","Good"
"29","D.J. Chark Jr.",JAC,"vs. TEN"," 6.4","B-","14.0","-1.7","15% (2/13)","11%","Good"
"30","Brandon Aiyuk",SF,"vs. WAS"," 4.6","B","13.3","+4.4","77% (7/9)","13%","Average"
"31","Jarvis Landry",CLE,"vs. BAL"," 4.8","C+","13.2","-1.7","25% (4/16)","9%","Awful"
"32","Tyler Boyd",CIN,"vs. DAL"," 7.0","C+","13.2","+0.1","43% (7/16)","11%","Poor"
"33","Keke Coutee",HOU,"at CHI"," 3.8","C+","13.1","+0.3","25% (2/8)","12%","Awful"
"34","Antonio Brown",TB,"vs. MIN"," 7.6","C+","13.0","-2.6","50% (2/4)","4%","Awful"
"35","T.Y. Hilton",IND,"at LV"," 7.4","C+","12.5","-2.3","35% (5/14)","10%","Awful"
"36","CeeDee Lamb",DAL,"at CIN"," 9.0","C+","12.5","+1.1","58% (7/12)","13%","Poor"
"37","Tee Higgins",CIN,"vs. DAL"," 7.6","C","12.1","+2.1","58% (7/12)","13%","Average"
"38","Curtis Samuel",CAR,"vs. DEN"," 5.2","B","12.1","+0.8","46% (7/15)","8%","Good"
"39","Tim Patrick",DEN,"at CAR"," 6.4","C","11.9","+1.9","66% (10/15)","11%","Good"
"40","Michael Pittman Jr.",IND,"at LV"," 6.2","C","11.6","-0.4","44% (4/9)","5%","Awful"
"41","Sterling Shepard",NYG,"vs. ARI"," 7.4","C","11.5","-1.2","30% (4/13)","8%","Awful"
"42","Mike Williams",LAC,"vs. ATL"," 7.4","C","11.5","-0.8","40% (6/15)","12%","Poor"
"43","Marquise Brown",BAL,"at CLE"," 6.4","C","11.5","-2.8","33% (5/15)","14%","Poor"
"44","Allen Lazard",GB,"at DET"," 6.0","C","11.4","+2.4","50% (5/10)","10%","Average"
"45","Jamison Crowder",NYJ,"at SEA"," 6.0","C","11.3","+1.7","58% (7/12)","10%","Great"
"46","Breshad Perriman",NYJ,"at SEA"," 6.8","C","11.0","+3.5","66% (8/12)","9%","Good"
"47","Jerry Jeudy",DEN,"at CAR"," 6.0","C","10.9","-1.5","33% (4/12)","10%","Awful"
"48","Christian Kirk",ARI,"at NYG"," 6.8","C-","10.9","-0.8","46% (7/15)","11%","Good"
"49","Nelson Agholor",LV,"vs. IND"," 5.6","C-","10.6","+2.6","50% (6/12)","13%","Average"
"50","Russell Gage",ATL,"at LAC"," 4.8","C-","10.3","+0.2","56% (9/16)","10%","Awful"
"51","Jakobi Meyers",NE,"at LAR"," 4.6","C-","10.2","-1.0","33% (4/12)","8%","Awful"
"52","Darius Slayton",NYG,"vs. ARI"," 6.8","C-","10.2","-1.8","31% (5/16)","12%","Awful"
"53","Michael Gallup",DAL,"at CIN"," 9.0","C-","9.7","-0.2","50% (8/16)","12%","Awful"
"54","Gabriel Davis",BUF,"vs. PIT"," 6.0","D","9.5","+2.7","66% (8/12)","7%","Good"
"55","Sammy Watkins",KC,"at MIA"," 5.4","D","9.5","-1.8","27% (3/11)","9%","Poor"
"56","Henry Ruggs III",LV,"vs. IND"," 6.8","D","9.1","-1.7","40% (4/10)","7%","Poor"
"57","Rashard Higgins",CLE,"vs. BAL"," 5.2","D","9.0","+0.9","33% (5/15)","5%","Good"
"58","Darnell Mooney",CHI,"vs. HOU"," 7.6","D+","9.0","+0.6","33% (4/12)","10%","Awful"
"59","Anthony Miller",CHI,"vs. HOU"," 8.0","D-","8.7","-0.9","37% (6/16)","12%","Awful"
"60","Golden Tate",NYG,"vs. ARI"," 7.4","F","8.6","-0.6","42% (6/14)","7%","Average"
"61","Jalen Reagor",PHI,"vs. NO"," 7.6","F","8.3","-0.1","57% (4/7)","8%","Awful"
"62","Chad Hansen",HOU,"at CHI"," 4.0","D-","8.3","-","-","7%","Awful"
"63","Emmanuel Sanders",NO,"at PHI"," 7.4","F","8.2","+0.1","50% (7/14)","9%","Poor"
"64","Keelan Cole Sr.",JAC,"vs. TEN"," 5.4","F","8.0","+0.6","40% (6/15)","9%","Good"
"65","Hunter Renfrow",LV,"vs. IND"," 5.2","F","8.0","+1.5","35% (5/14)","6%","Poor"
"66","Laviska Shenault Jr.",JAC,"vs. TEN"," 5.4","F","7.9","-1.0","50% (5/10)","7%","Average"
"67","Marquez Valdes-Scantling",GB,"at DET"," 5.2","F","7.8","-0.3","31% (5/16)","7%","Average"
"68","KJ Hamler",DEN,"at CAR"," 7.2","F","7.8","0.0","40% (4/10)","6%","Poor"
"69","Collin Johnson",JAC,"vs. TEN"," 5.8","F","7.6","+1.5","45% (5/11)","14%","Poor"
"70","Danny Amendola",DET,"vs. GB"," 3.8","F","7.5","-0.9","42% (6/14)","5%","Awful"
"71","David Moore",SEA,"vs. NYJ"," 7.2","F","7.5","+0.6","37% (6/16)","7%","Good"
"72","Mecole Hardman",KC,"at MIA"," 5.6","F","7.5","+0.5","43% (7/16)","4%","Good"
