"Pos","Player","Tm","Opp","DK Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"WR","Golden Tate","NYG","SF","4500","3.0%","37%","6%","5%","1.79"
"RB","Frank Gore","NYJ","@IND","4400","0.5%","18%","1%","1%","1.78"
"TE","Noah Fant","DEN","TB","5400","3.0%","33%","3%","5%","1.74"
"DEF","Arizona Cardinals","ARI","DET","3300","3.0%","23%","4%","5%","1.72"
"RB","David Johnson","HOU","@PIT","5400","3.0%","33%","4%","5%","1.67"
"WR","Christian Kirk","ARI","DET","4500","3.0%","33%","5%","5%","1.67"
"WR","Adam Humphries","TEN","@MIN","3900","3.0%","36%","5%","5%","1.63"
"QB","Deshaun Watson","HOU","@PIT","6500","3.0%","39%","13%","5%","1.62"
"RB","J.D. McKissic","WAS","@CLE","4000","0.5%","17%","1%","1%","1.59"
"TE","Rob Gronkowski","TB","@DEN","3300","0.5%","16%","0%","1%","1.58"
"QB","Joe Burrow","CIN","@PHI","6200","3.0%","39%","13%","5%","1.55"
"TE","Tyler Kroft","BUF","LAR","2900","0.5%","16%","0%","1%","1.53"
"TE","Darren Fells","HOU","@PIT","3300","0.5%","16%","0%","1%","1.52"
"DEF","New England Patriots","NE","LV","3200","3.0%","22%","3%","5%","1.51"
"WR","K.J. Hamler","DEN","TB","3000","3.0%","36%","5%","5%","1.51"
"QB","Carson Wentz","PHI","CIN","5800","3.0%","40%","12%","4%","1.50"
"RB","Ronald Jones","TB","@DEN","5000","0.5%","13%","1%","1%","1.48"
"WR","James Washington","PIT","HOU","4100","0.5%","15%","1%","1%","1.47"
"RB","Chris Carson","SEA","DAL","6600","7.5%","40%","9%","11%","1.45"
"WR","Van Jefferson","LAR","@BUF","3100","0.5%","17%","1%","1%","1.41"
"DEF","Cincinnati Bengals","CIN","@PHI","2600","0.5%","14%","1%","1%","1.40"
"RB","Chase Edmonds","ARI","DET","4600","0.5%","14%","1%","1%","1.39"
"WR","Brandin Cooks","HOU","@PIT","5200","3.0%","30%","4%","4%","1.37"
"TE","Evan Engram","NYG","SF","5000","3.0%","30%","2%","4%","1.37"
"WR","Russell Gage","ATL","CHI","5100","3.0%","30%","4%","4%","1.36"
"QB","Mitch Trubisky","CHI","@ATL","5700","3.0%","37%","11%","4%","1.31"
"WR","Jalen Reagor","PHI","CIN","4200","3.0%","31%","4%","4%","1.30"
"TE","Ross Dwelley","SF","@NYG","2500","0.5%","16%","0%","1%","1.28"
"RB","Nyheim Hines","IND","NYJ","4800","0.5%","13%","0%","1%","1.27"
"RB","Antonio Gibson","WAS","@CLE","4700","3.0%","31%","3%","4%","1.27"
"WR","Will Fuller","HOU","@PIT","6000","3.0%","27%","4%","4%","1.25"
"TE","Hunter Henry","LAC","CAR","4800","7.5%","42%","5%","9%","1.23"
"WR","Larry Fitzgerald","ARI","DET","4600","3.0%","30%","4%","4%","1.23"
"TE","T.J. Hockenson","DET","@ARI","5300","7.5%","42%","5%","9%","1.21"
"WR","DeAndre Hopkins","ARI","DET","7900","22.5%","65%","28%","27%","1.20"
"WR","Cooper Kupp","LAR","@BUF","6300","7.5%","39%","9%","9%","1.20"
"QB","Tom Brady","TB","@DEN","6100","3.0%","37%","10%","4%","1.20"
"DEF","Indianapolis Colts","IND","NYJ","4100","17.5%","37%","15%","21%","1.20"
"WR","Robert Woods","LAR","@BUF","6100","7.5%","42%","9%","9%","1.19"
"QB","Tyrod Taylor","LAC","CAR","5700","3.0%","35%","10%","4%","1.19"
"WR","Julio Jones","ATL","CHI","7400","7.5%","39%","9%","9%","1.18"
"QB","Jared Goff","LAR","@BUF","5600","3.0%","37%","10%","4%","1.17"
"DEF","Dallas Cowboys","DAL","@SEA","2600","0.5%","13%","0%","1%","1.17"
"WR","Adam Thielen","MIN","TEN","6900","7.5%","39%","9%","9%","1.15"
"WR","Mike Evans","TB","@DEN","6800","7.5%","38%","9%","9%","1.15"
"DEF","Los Angeles Chargers","LAC","CAR","3600","7.5%","26%","6%","9%","1.14"
"RB","Derrick Henry","TEN","@MIN","7800","12.5%","41%","11%","14%","1.12"
"RB","James Conner","PIT","HOU","6700","7.5%","35%","7%","8%","1.11"
"WR","JuJu Smith-Schuster","PIT","HOU","6600","7.5%","39%","9%","8%","1.11"
"RB","Kareem Hunt","CLE","WAS","6100","7.5%","37%","6%","8%","1.09"
"QB","Baker Mayfield","CLE","WAS","5700","3.0%","34%","9%","3%","1.09"
"WR","Hunter Renfrow","LV","@NE","4300","0.5%","13%","1%","1%","1.09"
"WR","Anthony Miller","CHI","@ATL","4900","3.0%","27%","3%","3%","1.08"
"WR","Julian Edelman","NE","LV","6200","7.5%","40%","8%","8%","1.07"
"QB","Philip Rivers","IND","NYJ","6000","3.0%","35%","9%","3%","1.07"
"WR","Stefon Diggs","BUF","LAR","7000","7.5%","37%","8%","8%","1.04"
"QB","Kyler Murray","ARI","DET","6800","12.5%","67%","36%","13%","1.04"
"DEF","Denver Broncos","DEN","TB","3100","0.5%","10%","0%","1%","1.03"
"WR","Mike Thomas","CIN","@PHI","3000","0.5%","15%","1%","1%","1.03"
"WR","Michael Gallup","DAL","@SEA","5500","7.5%","39%","8%","7%","1.00"
"RB","Devin Singletary","BUF","LAR","4900","3.0%","27%","2%","3%","1.00"
"TE","Ryan Griffin","NYJ","@IND","2500","0.5%","15%","0%","1%","1.00"
"WR","Keenan Allen","LAC","CAR","6100","7.5%","39%","8%","7%","0.99"
"TE","Jonnu Smith","TEN","@MIN","5200","7.5%","38%","4%","7%","0.99"
"DEF","Houston Texans","HOU","@PIT","2100","3.0%","26%","2%","3%","0.99"
"QB","Josh Allen","BUF","LAR","6900","7.5%","49%","20%","7%","0.98"
"DEF","Cleveland Browns","CLE","WAS","3800","7.5%","24%","5%","7%","0.97"
"WR","Odell Beckham","CLE","WAS","6300","7.5%","37%","7%","7%","0.96"
"WR","John Brown","BUF","LAR","5700","7.5%","37%","7%","7%","0.96"
"WR","T.Y. Hilton","IND","NYJ","5600","7.5%","38%","7%","7%","0.94"
"RB","Miles Sanders","PHI","CIN","6400","17.5%","48%","13%","16%","0.93"
"TE","Will Dissly","SEA","DAL","3000","0.5%","13%","0%","0%","0.90"
"RB","Ezekiel Elliott","DAL","@SEA","8300","22.5%","47%","16%","20%","0.89"
