Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value,Upside
Sony Michel,RB,NE,@MIA,5900,4.7,-5.79,22.8,12.4,100.1677467
Laquon Treadwell,WR,MIN,@SEA,3100,0,-6.11,14.6,8.51,100.1303247
Alvin Kamara,RB,NO,@TB,8100,10.2,-4.17,30.3,16.01,100.084706
Jordan Matthews,WR,PHI,@DAL,3000,0,-5.91,14.4,8.5,99.84402351
Kyle Juszczyk,RB,SF,DEN,3000,0,-5.31,14.4,9.06,99.84402351
Luke Stocker,TE,TEN,JAX,2500,0,-4.55,13.5,8.93,99.46885046
Trenton Cannon,RB,NYJ,@BUF,3100,0,-5.49,14.5,9,99.44450056
Julio Jones,WR,ATL,@GB,7900,10.7,-4.81,30.5,14.91,99.41597127
Chase Edmonds,RB,ARI,DET,3800,0,-6.73,15.5,8.81,99.32772747
Kendrick Bourne,WR,SF,DEN,3400,0,-6.7,14.9,8.23,99.08927011
Aldrick Robinson,WR,MIN,@SEA,3200,0,-6.3,14.6,8.31,99.07624301
Ezekiel Elliott,RB,DAL,PHI,8600,12.1,-3.14,32.3,17.04,98.59431765
Chris Hogan,WR,NE,@MIA,3400,0,-6.7,14.8,8.14,98.42424145
Latavius Murray,RB,MIN,@SEA,3700,0,-6.55,15.2,8.68,98.27499112
JuJu Smith-Schuster,WR,PIT,@OAK,8200,7.6,-8.6,27.4,11.26,98.18848809
Ronald Jones,RB,TB,NO,3100,0,-5.49,14.3,8.82,98.07285228
Logan Thomas,TE,BUF,NYJ,2500,0,-4.55,13.3,8.7,97.99523786
Todd Gurley,RB,LAR,@CHI,8800,11,-4.6,31.2,15.58,97.84165992
Saquon Barkley,RB,NYG,@WAS,8900,12.3,-3.47,32.5,16.71,97.47383066
Levine Toilolo,TE,DET,@ARI,2600,0,-4.73,13.4,8.7,97.44966467
Eric Ebron,TE,IND,@HOU,5700,3.8,-6.58,21.2,10.79,97.40717835
Austin Hooper,TE,ATL,@GB,4300,3.6,-4.26,19.4,11.55,97.16300436
Antony Auclair,TE,TB,NO,2500,0,-4.55,13.1,8.53,96.52162526
Nick Boyle,TE,BAL,@KC,2500,0,-4.55,13.1,8.57,96.52162526
Adam Shaheen,TE,CHI,LAR,2500,0,-4.55,13.1,8.52,96.52162526
Christian McCaffrey,RB,CAR,@CLE,9300,13.1,-3.37,33.3,16.81,96.05582799
Jimmy Graham,TE,GB,ATL,4400,1.8,-6.2,17.5,9.5,95.81101189
Jermaine Gresham,TE,ARI,DET,2500,0,-4.55,13,8.45,95.78481896
Dalton Schultz,TE,DAL,PHI,2500,0,-4.55,13,8.48,95.78481896
Rob Gronkowski,TE,NE,@MIA,4800,2.9,-5.88,19,10.28,95.44330367
Luke Willson,TE,DET,@ARI,2500,0,-4.55,12.9,8.34,95.04801266
Michael Floyd,WR,WAS,NYG,3000,0,-5.91,13.7,7.79,94.99049459
Carlos Hyde,RB,JAX,@TEN,3200,0,-5.66,13.9,8.2,94.32601218
Brian Parker,TE,DEN,@SF,2500,0,-4.55,12.8,8.27,94.31120637
Marvin Hall,WR,ATL,@GB,3000,0,-5.91,13.6,7.69,94.29713331
Cody Core,WR,CIN,@LAC,3500,0,-6.9,14.3,7.39,94.18462711
Anthony Firkser,TE,TEN,JAX,2600,0,-4.73,12.9,8.14,93.81348316
Deonte Thompson,WR,BUF,NYJ,3000,0,-5.91,13.5,7.55,93.60377204
Austin Carr,WR,NO,@TB,3000,0,-5.91,13.5,7.58,93.60377204
Blake Bell,TE,JAX,@TEN,2500,0,-4.55,12.7,8.1,93.57440007
Darren Fells,TE,CLE,CAR,2500,0,-4.55,12.7,8.19,93.57440007
Rico Gathers,TE,DAL,PHI,2500,0,-4.55,12.7,8.1,93.57440007
Jared Cook,TE,OAK,PIT,5200,3.2,-6.29,19.4,9.97,93.50766953
River Cracraft,WR,DEN,@SF,3000,0,-5.91,13.4,7.47,92.91041076
Matt Lengel,TE,CIN,@LAC,2500,0,-4.55,12.6,8.06,92.83759377
Chris Manhertz,TE,CAR,@CLE,2500,0,-4.55,12.6,8.07,92.83759377
Jordan Reed,TE,WAS,NYG,4600,3.1,-5.31,18.5,10.13,92.59796525
Eric Tomlinson,TE,NYJ,@BUF,2500,0,-4.55,12.5,7.91,92.10078747
Josh Hill,TE,NO,@TB,2500,0,-4.55,12.5,7.97,92.10078747
Jordan Leggett,TE,NYJ,@BUF,2500,0,-4.55,12.5,8,92.10078747
Equanimeous St. Brown,WR,GB,ATL,3100,0,-6.11,13.4,7.33,91.900435
Jamaal Williams,RB,GB,ATL,3500,0,-6.2,13.9,7.69,91.55009209
Marcedes Lewis,TE,GB,ATL,2500,0,-4.55,12.4,7.86,91.36398117
Lee Smith,TE,OAK,PIT,2500,0,-4.55,12.4,7.87,91.36398117
Travis Kelce,TE,KC,BAL,6700,7,-5.16,24.2,11.99,91.2368283
Auden Tate,WR,CIN,@LAC,3000,0,-5.91,13.1,7.16,90.83032694
Dwayne Harris,WR,OAK,PIT,3000,0,-5.91,13.1,7.22,90.83032694
Andre Roberts,WR,NYJ,@BUF,3000,0,-5.91,13.1,7.22,90.83032694
Damion Ratley,WR,CLE,CAR,3000,0,-5.91,13,7.1,90.13696567
Chris Moore,WR,BAL,@KC,3000,0,-5.91,13,7.12,90.13696567
George Kittle,TE,SF,DEN,5500,4.9,-5.11,20.8,10.78,90.07609726
Hayden Hurst,TE,BAL,@KC,2500,0,-4.55,12.2,7.64,89.89036857
Garrett Celek,TE,SF,DEN,2500,0,-4.55,12.2,7.61,89.89036857
Russell Shepard,WR,NYG,@WAS,3200,0,-6.3,13.2,6.86,89.57578135
Alex Erickson,WR,CIN,@LAC,3000,0,-5.91,12.9,7,89.44360439
Zach Ertz,TE,PHI,@DAL,6400,6.9,-4.7,23.5,11.84,89.40903964
Robert Tonyan,TE,GB,ATL,2500,0,-4.55,12.1,7.55,89.15356227
Phillip Dorsett,WR,NE,@MIA,3000,0,-5.91,12.8,6.92,88.75024312
Kalen Ballage,RB,MIA,NE,3000,0,-5.31,12.8,7.51,88.75024312
C.J. Ham,RB,MIN,@SEA,3000,0,-5.31,12.8,7.51,88.75024312
Anthony Sherman,RB,KC,BAL,3000,0,-5.31,12.8,7.5,88.75024312
MyCole Pruitt,TE,TEN,JAX,2500,0,-4.55,12,7.44,88.41675597
Torrey Smith,WR,CAR,@CLE,3200,0,-6.3,13,6.69,88.21857254
Justin Hardy,WR,ATL,@GB,3000,0,-5.91,12.7,6.82,88.05688184
Jordan Wilkins,RB,IND,@HOU,3300,0,-5.84,13.1,7.3,87.98999959
John Kelly,RB,LAR,@CHI,3800,0,-6.73,13.7,6.94,87.7928946
Derek Carrier,TE,OAK,PIT,2500,0,-4.55,11.9,7.32,87.67994967
Eric Saubert,TE,ATL,@GB,2500,0,-4.55,11.9,7.37,87.67994967
Tennessee Titans,DEF,TEN,JAX,2900,2.6,-4.83,15.1,7.72,87.65513179
Rhett Ellison,TE,NYG,@WAS,2700,0,-4.91,12.2,7.28,87.61367739
James Washington,WR,PIT,@OAK,3000,0,-5.91,12.6,6.66,87.36352057
Corey Coleman,WR,NYG,@WAS,3000,0,-5.91,12.5,6.59,86.67015929
Kapri Bibbs,RB,WAS,NYG,3700,0,-6.55,13.3,6.73,85.99061723
Cameron Batson,WR,TEN,JAX,3000,0,-5.91,12.4,6.52,85.97679802
Roosevelt Nix,RB,PIT,@OAK,3000,0,-5.31,12.4,7.05,85.97679802
Taquan Mizzell,RB,CHI,LAR,3000,0,-5.31,12.4,7.07,85.97679802
Cordarrelle Patterson,WR,NE,@MIA,3300,0,-6.5,12.8,6.34,85.97496144
