"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)","OPPORTUNITY (?)","EFFICIENCY (?)"
"58","Damiere Byrd",NE,"at BUF"," 7.8","D","8.3","+0.6","26% (4/15)","6%","Awful"
"59","John Brown",BUF,"vs. NE"," 6.6","D+","8.3","-1.0","35% (5/14)","8%","Good"
"60","Tim Patrick",DEN,"vs. LAC"," 6.2","C-","8.2","+1.5","61% (8/13)","7%","Great"
"61","Russell Gage",ATL,"at CAR"," 3.4","D-","8.2","+1.1","62% (10/16)","9%","Average"
"62","Braxton Berrios",NYJ,"at KC"," 4.6","D-","8.1","0.0","18% (3/16)","10%","Good"
"63","Zach Pascal",IND,"at DET"," 5.4","D-","7.9","-1.3","37% (6/16)","19%","Average"
"64","Anthony Miller",CHI,"vs. NO"," 9.2","F","7.6","0.0","47% (8/17)","13%","Good"
"65","Jalen Reagor",PHI,"vs. DAL","-","D+","7.6","+0.2","100% (2/2)","3%","Awful"
"66","Josh Reynolds",LAR,"at MIA"," 4.4","F","7.6","+2.2","68% (11/16)","12%","Good"
"67","Danny Amendola",DET,"vs. IND"," 5.6","F","7.5","-0.8","31% (5/16)","3%","Awful"
"68","James Washington",PIT,"at BAL"," 3.8","F","7.4","+1.5","43% (7/16)","8%","Great"
"69","Deonte Harris",NO,"at CHI"," 5.0","F","7.3","+0.5","41% (5/12)","5%","Good"
"70","Tyler Johnson",TB,"at NYG"," 6.2","F","7.3","+1.6","50% (3/6)","7%","Good"
"71","Gabriel Davis",BUF,"vs. NE"," 6.8","F","7.1","+2.0","71% (5/7)","4%","Great"
"72","Jalen Guyton",LAC,"at DEN"," 6.4","F","6.9","+2.4","44% (4/9)","3%","Great"
"73","David Moore",SEA,"vs. SF"," 5.6","F","6.6","+0.5","33% (5/15)","8%","Great"
"74","Marcus Johnson",IND,"at DET"," 5.2","F","6.5","+1.9","50% (7/14)","6%","Awful"
"75","KJ Hamler",DEN,"vs. LAC"," 6.2","F","6.5","-1.1","25% (1/4)","4%","Awful"
"76","Jakobi Meyers",NE,"at BUF"," 6.6","F","6.4","-1.2","27% (3/11)","2%","Awful"
"77","Jeff Smith",NYJ,"at KC"," 5.6","F","6.2","-1.6","20% (1/5)","9%","Awful"
