Player,Team,Opp,Time,FD Pos,FD Own,FD Sal,DK Pos,DK Own,DK Sal
Alexander Mattison,MIN,KC,Sun 01:00 EST,RB,1.20%,5400,RB,1.10%,5000
Allen Lazard,GB,LAC,Sun 04:25 EST,WR,1.20%,4900,WR,1.60%,3900
Trey Edmunds,PIT,IND,Sun 01:00 EST,RB,1.20%,4500,RB,1.30%,3000
Paul Richardson,WAS,BUF,Sun 01:00 EST,WR,1.20%,4800,WR,1.40%,3600
Breshad Perriman,TB,SEA,Sun 04:05 EST,WR,1.10%,4600,WR,1.70%,3000
Dare Ogunbowale,TB,SEA,Sun 04:05 EST,RB,1.10%,5000,RB,1.50%,3400
Dion Lewis,TEN,CAR,Sun 01:00 EST,RB,1.10%,4700,RB,1.20%,3800
Brandon Allen,DEN,CLE,Sun 04:25 EST,QB,1.10%,6000,QB,1.30%,4100
Antonio Callaway,CLE,DEN,Sun 04:25 EST,WR,1.10%,5000,WR,1.40%,3300
Kalen Ballage,MIA,NYJ,Sun 01:00 EST,RB,1.00%,4900,RB,1.00%,4000
Rashaad Penny,SEA,TB,Sun 04:05 EST,RB,1.00%,5400,RB,1.00%,4500
Luke Willson,SEA,TB,Sun 04:05 EST,TE,0.90%,4300,TE,1.30%,2900
Wendell Smallwood,WAS,BUF,Sun 01:00 EST,RB,0.90%,4500,RB,1.20%,3500
Chester Rogers,IND,PIT,Sun 01:00 EST,WR,0.90%,4700,WR,1.40%,3100
Carson Wentz,PHI,CHI,Sun 01:00 EST,QB,0.90%,7400,QB,0.90%,5700
Trey Quinn,WAS,BUF,Sun 01:00 EST,WR,0.90%,4800,WR,1.40%,3200
Duke Williams,BUF,WAS,Sun 01:00 EST,WR,0.90%,4600,WR,1.20%,3400
J.D. McKissic,DET,OAK,Sun 04:05 EST,RB,0.90%,5000,RB,1.00%,4100
Demarcus Robinson,KC,MIN,Sun 01:00 EST,WR,0.90%,5200,WR,1.00%,4000
Trey Burton,CHI,PHI,Sun 01:00 EST,TE,0.80%,4800,TE,1.30%,2900
Mecole Hardman,KC,MIN,Sun 01:00 EST,WR,0.80%,5600,WR,1.10%,4200
Irv Smith,MIN,KC,Sun 01:00 EST,TE,0.80%,4700,TE,1.30%,2700
Tajae Sharpe,TEN,CAR,Sun 01:00 EST,WR,0.80%,4700,WR,1.10%,3500
Jalen Richard,OAK,DET,Sun 04:05 EST,RB,0.80%,5000,RB,0.90%,3900
Fred Brown,DEN,CLE,Sun 04:25 EST,WR,0.70%,4500,WR,0.90%,3200
Dawson Knox,BUF,WAS,Sun 01:00 EST,TE,0.70%,4500,TE,1.10%,2800
Kyle Rudolph,MIN,KC,Sun 01:00 EST,TE,0.70%,4500,TE,0.80%,3300
Mike Gesicki,MIA,NYJ,Sun 01:00 EST,TE,0.70%,4800,TE,1.10%,2800
Tyler Kroft,BUF,WAS,Sun 01:00 EST,TE,0.60%,4500,TE,1.00%,2600
Sam Darnold,NYJ,MIA,Sun 01:00 EST,QB,0.60%,7300,QB,0.60%,5900
Mack Hollins,PHI,CHI,Sun 01:00 EST,WR,0.60%,4500,WR,0.90%,3000
Jarius Wright,CAR,TEN,Sun 01:00 EST,WR,0.60%,4500,WR,0.80%,3000
Ty Montgomery,NYJ,MIA,Sun 01:00 EST,RB,0.60%,4600,RB,0.50%,4500
Rashard Higgins,CLE,DEN,Sun 04:25 EST,WR,0.50%,4500,WR,0.80%,3100
Mitchell Trubisky,CHI,PHI,Sun 01:00 EST,QB,0.50%,6500,QB,0.60%,5000
