"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Andy Janovich","CLE","KC","RB","4000","0.1","-10.9","0.0","18522669","2.5"
"Jermar Jefferson","DET","SF","RB","4000","1.1","-9.9","0.0","18522783","2.5"
"Larry Rountree III","LAC","WAS","RB","4000","0.5","-10.4","0.0","18522727","2.5"
"Cethan Carter","MIA","NE","TE","2500","1.2","-6.8","0.0","18523613","2.5"
"Gunner Olszewski","NE","MIA","WR","3100","0.5","-8.7","0.0","18523029","2.3"
"Mike Thomas","CIN","MIN","WR","3000","0.6","-8.4","0.0","18523415","2.1"
"Diontae Spencer","DEN","NYG","WR","3000","0.5","-8.5","0.0","18523055","2.1"
"Devin Asiasi","NE","MIA","TE","2500","0.3","-7.7","0.0","18523597","2.0"
"Ricky Seals-Jones","WAS","LAC","TE","2500","0.3","-7.7","0.0","18523683","2.0"
"Trinity Benson","DET","SF","WR","3000","1.0","-7.9","0.0","18523059","1.9"
"Trevon Wesco","NYJ","CAR","TE","2500","0.6","-7.4","0.0","18523677","1.8"
"JJ Arcega-Whiteside","PHI","ATL","WR","3000","0.3","-8.7","0.0","18523461","1.8"
"Dante Pettis","NYG","DEN","WR","3000","0.5","-8.5","0.0","18523043","1.5"
