"Pos","Player","Tm","Opp","DK Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"RB","Kerryon Johnson","DET","MIN","5100","7.5%","44%","8%","8%","1.08"
"RB","Josh Jacobs","OAK","@GB","5000","7.5%","50%","11%","11%","1.42"
"WR","Marvin Jones","DET","MIN","5000","3.0%","37%","6%","7%","2.27"
"RB","Joe Mixon","CIN","JAX","5000","3.0%","39%","6%","6%","1.89"
"QB","Derek Carr","OAK","@GB","5000","0.5%","31%","7%","3%","6.64"
"TE","Mark Andrews","BAL","@SEA","4900","12.5%","55%","10%","14%","1.14"
"RB","Jamaal Williams","GB","OAK","4900","7.5%","34%","4%","4%","0.50"
"WR","Geronimo Allison","GB","OAK","4900","7.5%","17%","1%","1%","0.17"
"WR","Dede Westbrook","JAX","@CIN","4900","3.0%","38%","6%","6%","2.11"
"WR","DK Metcalf","SEA","BAL","4800","7.5%","34%","5%","6%","0.79"
"RB","David Montgomery","CHI","NO","4800","3.0%","34%","4%","4%","1.43"
"QB","Ryan Tannehill","TEN","LAC","4800","0.5%","30%","7%","3%","6.66"
"WR","Marquise Goodwin","SF","@WAS","4800","0.5%","27%","3%","4%","7.23"
"TE","Darren Waller","OAK","@GB","4700","7.5%","51%","8%","11%","1.48"
"RB","Carlos Hyde","HOU","@IND","4700","3.0%","37%","4%","4%","1.45"
"WR","Cole Beasley","BUF","MIA","4700","3.0%","28%","3%","3%","1.13"
"RB","Chase Edmonds","ARI","@NYG","4700","0.5%","18%","1%","1%","2.13"
"WR","Mohamed Sanu","ATL","LAR","4600","7.5%","33%","4%","5%","0.63"
"WR","Mike Williams","LAC","@TEN","4600","3.0%","37%","6%","7%","2.20"
"QB","Case Keenum","WAS","SF","4600","0.5%","19%","3%","1%","2.81"
"RB","Tarik Cohen","CHI","NO","4600","0.5%","20%","1%","1%","2.17"
"RB","Alexander Mattison","MIN","@DET","4600","0.5%","9%","0%","0%","0.32"
"RB","Raheem Mostert","SF","@WAS","4600","0.5%","1%","0%","0%","0.00"
"QB","Ryan Fitzpatrick","MIA","@BUF","4500","7.5%","16%","2%","1%","0.13"
"WR","Auden Tate","CIN","JAX","4500","3.0%","37%","6%","6%","2.05"
"RB","Giovani Bernard","CIN","JAX","4500","0.5%","14%","0%","1%","1.01"
"RB","Ito Smith","ATL","LAR","4500","0.5%","12%","0%","0%","0.75"
"RB","Nyheim Hines","IND","HOU","4400","0.5%","16%","1%","1%","1.13"
"DEF","Buffalo Bills","BUF","MIA","4300","22.5%","53%","33%","34%","1.51"
"WR","Kenny Stills","HOU","@IND","4300","0.5%","12%","0%","0%","0.85"
"RB","Ryquell Armstead","JAX","@CIN","4300","0.5%","3%","0%","0%","0.01"
"TE","Jimmy Graham","GB","OAK","4200","3.0%","25%","2%","2%","0.83"
"WR","Willie Snead","BAL","@SEA","4200","3.0%","23%","2%","2%","0.73"
"WR","Paul Richardson","WAS","SF","4200","0.5%","15%","1%","1%","1.36"
"RB","Gus Edwards","BAL","@SEA","4200","0.5%","5%","0%","0%","0.06"
"RB","Jeff Wilson","SF","@WAS","4200","0.5%","1%","0%","0%","0.00"
"DEF","San Francisco 49ers","SF","@WAS","4100","12.5%","37%","16%","16%","1.31"
"WR","Dante Pettis","SF","@WAS","4100","3.0%","33%","4%","5%","1.61"
"WR","Duke Williams","BUF","MIA","4100","3.0%","23%","2%","2%","0.72"
"QB","Taysom Hill","NO","@CHI","4100","0.5%","1%","0%","0%","0.01"
"WR","Darius Slayton","NYG","ARI","4100","0.5%","31%","4%","4%","8.76"
"RB","Adrian Peterson","WAS","SF","4100","0.5%","34%","3%","3%","6.67"
"RB","Kenyan Drake","MIA","@BUF","4100","0.5%","29%","2%","2%","3.84"
